,Accuracy,Score
173,67.47,0.645562469959259
174,74.87,0.7348108291625977
175,85.16,0.819238007068634
176,78.34,0.7233901023864746
177,82.26,0.7922781705856323
178,78.64,0.7104962468147278
179,83.97,0.8073239326477051
180,83.08,0.6903194785118103
181,82.15,0.8024179935455322
182,77.29,0.6861890554428101
183,84.03,0.7995760440826416
184,68.07,0.698735773563385
185,71.52,0.657414436340332
186,78.58,0.6961525678634644
187,85.98,0.6970870494842529
188,10.0,0.6405967473983765
189,83.1,0.6909414529800415
190,47.41,0.6304029226303101
191,72.1,0.7470053434371948
192,71.85,0.6521274447441101
193,82.53,0.6834912300109863
194,76.69,0.782609224319458
195,81.56,0.745476245880127
196,85.17,0.8177580833435059
197,83.78,0.7564070224761963
198,83.1,0.7939699292182922
199,84.9,0.81687331199646
200,82.95,0.8057308793067932
201,31.89,0.675186038017273
202,82.3,0.7344105243682861
203,60.52,0.6834770441055298
204,75.52,0.7289003133773804
205,85.34,0.8179654479026794
206,60.86,0.6353342533111572
207,52.62,0.6610710620880127
208,81.11,0.7006796598434448
209,78.98,0.713475227355957
210,80.13,0.7930843830108643
211,74.77,0.6853089332580566
212,76.58,0.7151633501052856
213,82.7,0.7993571758270264
214,53.66,0.6860597133636475
215,75.31,0.7283522486686707
216,86.19,0.7255420684814453
217,80.65,0.7685505151748657
218,87.41,0.7065927982330322
219,88.26,0.7595087289810181
220,77.01,0.780356764793396
221,60.79,0.6959449052810669
222,78.51,0.6724794507026672
223,85.61,0.8226770162582397
224,76.49,0.8095158338546753
225,72.27,0.6953845024108887
226,83.82,0.7778687477111816
227,83.72,0.815138578414917
228,85.44,0.8047415614128113
229,80.75,0.7848241329193115
230,88.05,0.7461495399475098
231,84.85,0.8089350461959839
232,83.58,0.7990932464599609
233,85.36,0.7832037210464478
234,88.36,0.7679094076156616
235,71.22,0.646004319190979
236,60.09,0.6891840696334839
237,78.1,0.7973536252975464
238,79.31,0.7146222591400146
239,85.24,0.8038887977600098
240,82.13,0.6853742599487305
241,71.59,0.6530728340148926
242,79.28,0.6896528601646423
243,70.35,0.6773665547370911
244,69.97,0.6482837796211243
245,82.35,0.8087344765663147
246,83.97,0.8154169321060181
247,77.92,0.7879080772399902
248,84.16,0.7961581945419312
249,83.39,0.8177664279937744
250,83.81,0.6927493810653687
251,81.89,0.8086762428283691
252,60.38,0.6484420299530029
253,84.12,0.6799407005310059
254,60.93,0.6881883144378662
255,77.34,0.6706903576850891
256,82.92,0.8026414513587952
257,64.89,0.6383095979690552
258,64.19,0.6824855208396912
259,10.0,0.6451647281646729
260,82.69,0.6915209293365479
261,79.46,0.7814396023750305
262,77.08,0.7906085252761841
263,75.37,0.6577848196029663
264,84.15,0.8079838156700134
265,75.06,0.722934365272522
266,83.35,0.6838440895080566
267,87.98,0.7434629201889038
268,79.71,0.8228964805603027
269,80.4,0.8105734586715698
270,79.14,0.798175573348999
271,72.24,0.7825402617454529
272,78.49,0.7915076017379761
273,81.98,0.7798806428909302
274,78.32,0.7464050650596619
275,74.56,0.8154951333999634
276,82.38,0.6870112419128418
277,82.0,0.79066401720047
278,77.82,0.801189124584198
279,83.01,0.6683698892593384
280,78.56,0.7787737250328064
281,80.71,0.7127774357795715
